Epoch,Train Loss,Valid Loss,Accuracy,Precision,Recall,F1 Score,ROC AUC
1,2.0176981869267254,1.6606683189218694,0.0,0.0,0.0,0.0,0.512094440800895
2,1.9563964241888465,1.6622673706574873,1.0,1.0,1.0,1.0,0.5163959723776089
3,1.9355180096335527,1.642692663452842,0.0,0.0,0.0,0.0,0.4601867211913121
4,1.914086978246526,21.975586652755737,1.0,1.0,1.0,1.0,0.4871918521661973
5,1.889476391418678,2.9494174285368486,0.984472049689441,0.975609756097561,0.9937888198757764,0.9846153846153847,0.4791481810115351
6,1.9407038179839529,1.8036464886231856,0.17701863354037267,0.15333333333333332,0.14285714285714285,0.14790996784565916,0.4485938042513792
7,1.9496249462046273,1.7550020217895508,0.059006211180124224,0.03896103896103896,0.037267080745341616,0.0380952380952381,0.4477064928050616
8,1.9262606730548346,1.6513673283837058,0.7919254658385093,0.8012820512820513,0.7763975155279503,0.7886435331230284,0.4724740557848848
9,1.9224551658077937,8.201307968659835,0.984472049689441,0.9936708860759493,0.9751552795031055,0.9843260188087775,0.4718182168897805
10,1.9270901025795355,2.4104099490425805,0.8664596273291926,0.8831168831168831,0.84472049689441,0.8634920634920635,0.45681107981945146
11,1.9293586233767068,14.832607778635891,0.043478260869565216,0.03184713375796178,0.031055900621118012,0.031446540880503145,0.48825276802592493
12,1.9345986152567514,1.694023934277621,0.9503105590062112,0.9738562091503268,0.9254658385093167,0.9490445859872612,0.4336638246981212
13,1.9112660554124088,1.6832250898534602,0.9472049689440993,0.95,0.9440993788819876,0.9470404984423676,0.49992284248292895
14,1.921231796465269,1.666118394244801,0.8105590062111802,0.8012048192771084,0.8260869565217391,0.8134556574923547,0.5184599359592608
15,1.9093222083841883,1.7023548971522937,0.9316770186335404,0.9161676646706587,0.9503105590062112,0.9329268292682927,0.5351838277844219
16,1.8948251688625755,1.6740627939050847,0.8633540372670807,0.8588957055214724,0.8695652173913043,0.8641975308641975,0.5448285174183094
17,1.9270787344473164,1.6692299409346147,0.8850931677018633,0.8924050632911392,0.8757763975155279,0.8840125391849529,0.49637359669765835
18,1.9082123244681009,1.7354829853231257,0.9006211180124224,0.9056603773584906,0.8944099378881988,0.9,0.5173604413409977
19,1.9109025637551051,1.6573748913678257,0.8788819875776398,0.8674698795180723,0.8944099378881988,0.8807339449541285,0.5728174067358511
20,1.9154326872127811,1.6496576070785522,0.922360248447205,0.9197530864197531,0.9254658385093167,0.9226006191950464,0.4918984607075345
21,1.8981954633462719,1.7698097554120151,0.8944099378881988,0.8895705521472392,0.9006211180124224,0.8950617283950617,0.5420122680452143
22,1.8948821836128467,1.7872261134060947,0.9565217391304348,0.9681528662420382,0.9440993788819876,0.9559748427672956,0.47488522819335677
23,1.8826154150613925,1.7022361646999011,0.9316770186335404,0.9371069182389937,0.9254658385093167,0.93125,0.4927857721538521
24,1.8990479522361987,1.7275501814755527,0.9254658385093167,0.9254658385093167,0.9254658385093167,0.9254658385093167,0.4821187454187724
25,1.9002867271987403,1.6868238990957087,0.9192546583850931,0.9411764705882353,0.8944099378881988,0.9171974522292994,0.4681339454496354
26,1.8891987746081702,1.6889962499791926,0.9099378881987578,0.9125,0.906832298136646,0.9096573208722741,0.5126152540411248
27,1.9069783974711487,1.7438611550764604,0.8975155279503105,0.8950617283950617,0.9006211180124224,0.8978328173374613,0.5158751591373789
28,1.89863286512654,1.6823252439498901,0.953416149068323,0.9506172839506173,0.9565217391304348,0.9535603715170279,0.5025076193048108
29,1.9020352450812734,1.6640474687923084,0.9316770186335404,0.9316770186335404,0.9316770186335404,0.9316770186335404,0.513811195555727
