Epoch,Train Loss,Valid Loss,Accuracy,Precision,Recall,F1 Score,ROC AUC
1,0.6943882326161639,0.6942759316142012,0.48757763975155277,0.47435897435897434,0.22981366459627328,0.30962343096234307,0.4945796844257552
2,0.6934845595626358,0.7011012900166396,0.4751552795031056,0.483739837398374,0.7391304347826086,0.5847665847665847,0.469542070136183
3,0.6970095182797924,0.6934020591945182,0.484472049689441,0.48502994011976047,0.5031055900621118,0.49390243902439024,0.5083523012229466
4,0.6951941484990327,0.6992391565950905,0.4782608695652174,0.4854771784232365,0.7267080745341615,0.582089552238806,0.4875969291308206
5,0.6977337073095097,0.6919304248763294,0.5,0.5,0.32919254658385094,0.3970037453183521,0.5188071447860808
6,0.6975901841376879,0.7025345680190296,0.46273291925465837,0.44642857142857145,0.3105590062111801,0.3663003663003663,0.4567725010609158
7,0.6964353441451647,0.6951851917476188,0.4782608695652174,0.47904191616766467,0.4968944099378882,0.4878048780487805,0.48775124416496274
8,0.6947304447245154,0.6972045622220854,0.4720496894409938,0.47804878048780486,0.6086956521739131,0.5355191256830601,0.4973573550403148
9,0.6938577575713211,0.6947377832924447,0.5093167701863354,0.5077720207253886,0.6086956521739131,0.5536723163841808,0.5019868060645809
10,0.6918552614146878,0.6976781429314032,0.5,0.5,0.5900621118012422,0.5413105413105413,0.4953512595964662
11,0.6979747140629692,0.7242958487533941,0.48757763975155277,0.49,0.6086956521739131,0.5429362880886427,0.4718953744068516
12,0.6845298553845898,0.7495688330836412,0.4751552795031056,0.48148148148148145,0.6459627329192547,0.5517241379310345,0.49866903283052355
13,0.6954402316431081,0.6958032337630667,0.4968944099378882,0.49828178694158076,0.9006211180124224,0.6415929203539823,0.4825431117626635
14,0.6944334706904726,0.6900137183142871,0.4782608695652174,0.48484848484848486,0.6956521739130435,0.5714285714285714,0.5175726245129432
15,0.6959357665192266,0.69032149489333,0.5217391304347826,0.5275590551181102,0.4161490683229814,0.4652777777777778,0.5366305312295051
