Epoch,Train Loss,Valid Loss,Accuracy,Precision,Recall,F1 Score,ROC AUC
1,7.774149225365301,7.988900126480475,0.4751552795031056,0.4801980198019802,0.6024844720496895,0.5344352617079889,0.4701207515142163
2,7.478547901840684,8.001120020703572,0.5031055900621118,0.5454545454545454,0.037267080745341616,0.06976744186046512,0.4792253385286061
3,7.2933295942981795,8.294962708542986,0.48757763975155277,0.4722222222222222,0.2111801242236025,0.2918454935622318,0.5044365572315883
4,7.282859340217543,7.8085980066439005,0.4968944099378882,0.49828178694158076,0.9006211180124224,0.6415929203539823,0.48030554376760154
5,7.121310956729865,8.012605574072861,0.5,0.0,0.0,0.0,0.4841634196211566
6,7.0700871011485225,8.014569363942961,0.5,0.0,0.0,0.0,0.5058639712974037
7,7.0614159418189,7.721189382599621,0.5,0.5,0.9316770186335404,0.6507592190889371,0.49918984607075345
8,7.029007618471702,7.856744440590463,0.5031055900621118,0.6666666666666666,0.012422360248447204,0.024390243902439025,0.47502025384823116
9,7.067723528939005,8.097747628281756,0.5,0.5,1.0,0.6666666666666666,0.5230315188457235
10,7.044982220075145,8.003334103561029,0.5031055900621118,0.5015576323987538,1.0,0.6680497925311203,0.47255121330195593
11,7.0094979031485805,7.81119923475312,0.4720496894409938,0.45454545454545453,0.2795031055900621,0.34615384615384615,0.47818371204814625
12,7.036507295525593,7.728995858169183,0.5,0.0,0.0,0.0,0.47901315535666067
13,7.027756830179913,7.716349729677526,0.5,0.0,0.0,0.0,0.48346900196751663
14,7.008444196689203,8.06201270731484,0.5,0.0,0.0,0.0,0.4845877859650477
15,7.063316203052213,8.084350516156453,0.5,0.0,0.0,0.0,0.5166853130666256
16,7.030491618636232,7.74878312320244,0.5,0.0,0.0,0.0,0.5696732379152039
17,7.012231465452206,7.800264567863651,0.5,0.0,0.0,0.0,0.5062690482620269
18,7.020107008655619,7.796795717099818,0.5,0.5,1.0,0.6666666666666666,0.5737240075614367
19,7.021046792498287,7.949700436941007,0.5,0.5,1.0,0.6666666666666666,0.5500752285791444
20,6.979788312260409,7.878393580273884,0.5403726708074534,0.6857142857142857,0.14906832298136646,0.24489795918367346,0.5821534663014545
21,6.963614253523927,7.768881216281798,0.5434782608695652,0.5230263157894737,0.9875776397515528,0.6838709677419355,0.6020986844643339
22,6.964496197907821,7.740763629355082,0.5403726708074534,0.8421052631578947,0.09937888198757763,0.17777777777777778,0.5876316500135026
23,6.951963220323835,7.822198088576154,0.5031055900621118,1.0,0.006211180124223602,0.012345679012345678,0.5834651440916631
24,6.954258655168996,7.871535626853385,0.5403726708074534,0.8421052631578947,0.09937888198757763,0.17777777777777778,0.6567262065506732
25,6.9122201019192335,7.8363178299694525,0.5590062111801242,0.5331010452961672,0.9503105590062112,0.6830357142857143,0.654257166004398
