Epoch,Train Loss,Valid Loss,Accuracy,Precision,Recall,F1 Score,ROC AUC
1,7.968725867893385,7.5772541208965025,0.5527950310559007,0.5364806866952789,0.7763975155279503,0.6345177664974619,0.580726052235639
2,7.175493376595633,7.25743891553181,0.6242236024844721,0.6086956521739131,0.6956521739130435,0.6492753623188405,0.6590023533042707
3,6.533961399741795,8.49321435137493,0.5652173913043478,0.5454545454545454,0.782608695652174,0.6428571428571429,0.580224528374677
4,5.627090487420929,9.186248267569193,0.577639751552795,0.5486381322957199,0.8757763975155279,0.6746411483253588,0.6368581459048647
5,4.112770502241502,9.760484486091428,0.5869565217391305,0.5630630630630631,0.7763975155279503,0.6527415143603134,0.6079240770032021
6,4.358693306120286,9.445629340846365,0.5900621118012422,0.5700483091787439,0.7329192546583851,0.6413043478260869,0.6419119632730219
7,3.155227430488752,8.822392456415223,0.6428571428571429,0.6036036036036037,0.8322981366459627,0.6997389033942559,0.736699972994869
8,2.2586142800239304,11.591890887516302,0.5714285714285714,0.5529953917050692,0.7453416149068323,0.6349206349206349,0.6062651903861733
9,1.25819112203136,14.115119643327667,0.5217391304347826,0.515695067264574,0.7142857142857143,0.5989583333333334,0.5104355541838663
10,1.3553978531442075,13.69932756336724,0.5,0.5,0.6459627329192547,0.5636856368563685,0.5361675861270785
11,1.0570912381506854,13.522341396023588,0.5527950310559007,0.5381165919282511,0.7453416149068323,0.625,0.5751900003857875
12,0.6423664694617254,16.645068680367817,0.531055900621118,0.5211864406779662,0.7639751552795031,0.6196473551637279,0.5088538250839089
13,0.9987773408430703,13.85938253344559,0.5900621118012422,0.5596707818930041,0.84472049689441,0.6732673267326733,0.6256317271710197
14,1.851568008801952,12.464528293144411,0.562111801242236,0.55,0.6832298136645962,0.6094182825484764,0.562208248138575
15,0.6049598756228914,14.91855414320783,0.5186335403726708,0.5135135135135135,0.7080745341614907,0.5953002610966057,0.5188843023031519
16,0.5429965983266416,14.63206647082073,0.5496894409937888,0.5404040404040404,0.6645962732919255,0.596100278551532,0.5363604799197561
17,0.38967672147736043,17.025227907227308,0.5341614906832298,0.5215686274509804,0.8260869565217391,0.6394230769230769,0.5122873345935728
18,0.4424722705105817,20.41400009248315,0.5186335403726708,0.5107142857142857,0.8881987577639752,0.6485260770975056,0.5073106747424868
19,0.48831050782840446,17.965570589391195,0.5031055900621118,0.5025125628140703,0.6211180124223602,0.5555555555555556,0.49573704718182166
20,0.31543378860498805,16.354016083042797,0.5217391304347826,0.5185185185185185,0.6086956521739131,0.56,0.520928976505536
21,0.3618768883047637,15.709285137129992,0.5248447204968945,0.521505376344086,0.6024844720496895,0.5590778097982709,0.5418386636318043
22,0.22617829012574617,15.864440278309148,0.546583850931677,0.5342465753424658,0.7267080745341615,0.6157894736842106,0.5562285405655646
23,0.4931772808017938,16.956376436280042,0.5372670807453416,0.5238095238095238,0.8198757763975155,0.639225181598063,0.550788935612052
24,0.17742691161284535,15.739110551229338,0.5559006211180124,0.5529411764705883,0.5838509316770186,0.56797583081571,0.5640600285482813
25,0.20227202351974405,16.221927418941405,0.5559006211180124,0.5489130434782609,0.6273291925465838,0.5855072463768116,0.5473168473438524
26,0.22055419397927958,19.76689631182973,0.5093167701863354,0.5063291139240507,0.7453416149068323,0.6030150753768844,0.502912696269434
27,0.296002186001828,19.482144506966197,0.5279503105590062,0.5179282868525896,0.8074534161490683,0.6310679611650486,0.522819335673778
28,0.23238806445035876,20.39469474699439,0.5031055900621118,0.5018867924528302,0.8260869565217391,0.6244131455399061,0.5142162725203503
29,0.14238322794622515,21.17169693039685,0.5093167701863354,0.5057471264367817,0.8198757763975155,0.6255924170616114,0.4931908491184753
30,0.13896739707322595,20.28271263401683,0.5124223602484472,0.5079365079365079,0.7950310559006211,0.6198547215496368,0.49851471779638135
31,0.15100473889745542,21.08699020525304,0.5248447204968945,0.5151515151515151,0.84472049689441,0.64,0.5135990123837815
32,0.09736545534330125,20.622385385559827,0.5186335403726708,0.5114503816793893,0.8322981366459627,0.6335697399527187,0.5141776937618148
33,0.13679115835183897,21.2490525943477,0.515527950310559,0.5091575091575091,0.8633540372670807,0.6405529953917051,0.5265614752517265
34,0.13802157594643025,18.75426224964421,0.5372670807453416,0.5258620689655172,0.7577639751552795,0.6208651399491094,0.5382122603294626
35,0.09979042612155031,19.407678801838944,0.5372670807453416,0.5241935483870968,0.8074534161490683,0.6356968215158925,0.5359361135758651
36,0.2808391365760602,18.638106372298264,0.5403726708074534,0.5308056872037915,0.6956521739130435,0.6021505376344086,0.5287218857297172
37,0.10629316345319985,18.66504811077583,0.5590062111801242,0.5404255319148936,0.7888198757763976,0.6414141414141414,0.5388680992245669
38,0.11967756448787932,20.229177626167857,0.515527950310559,0.5103734439834025,0.7639751552795031,0.6119402985074627,0.514409166313028
39,0.09533666016429848,20.974622970674098,0.515527950310559,0.5098039215686274,0.8074534161490683,0.625,0.5169553643763743
40,0.10015223142893417,20.802084015636908,0.5279503105590062,0.5179282868525896,0.8074534161490683,0.6310679611650486,0.5171482581690521
41,0.2642041946651402,21.529273812363787,0.5186335403726708,0.5113636363636364,0.8385093167701864,0.6352941176470588,0.5210832915396783
42,0.2679906288474243,20.099188292898784,0.5279503105590062,0.5189873417721519,0.7639751552795031,0.6180904522613065,0.5201381119555573
43,0.1885663302418608,20.475978641975217,0.5217391304347826,0.5137254901960784,0.8136645962732919,0.6298076923076923,0.52401527718838
44,0.09717101481112635,21.411017697031905,0.5217391304347826,0.5130111524163569,0.8571428571428571,0.641860465116279,0.5227807569152425
45,0.300310145485105,20.98127231365297,0.5248447204968945,0.5151515151515151,0.84472049689441,0.64,0.5272558929053663
46,0.1004344669419416,21.468398466342833,0.5248447204968945,0.5150375939849624,0.8509316770186336,0.6416861826697893,0.5261371089078354
47,0.4169429773175568,21.330163781235857,0.5217391304347826,0.5133079847908745,0.8385093167701864,0.6367924528301887,0.5230315188457235
48,0.11898438542248299,21.617087201374332,0.5217391304347826,0.5130111524163569,0.8571428571428571,0.641860465116279,0.5268315265614754
49,0.09223159238325883,20.66575295750688,0.531055900621118,0.51953125,0.8260869565217391,0.6378896882494005,0.5249411673932333
50,0.12896984119130217,21.736391497821344,0.5217391304347826,0.5129151291512916,0.8633540372670807,0.6435185185185185,0.5248447204968945
51,0.07793868134110611,21.242192175330185,0.531055900621118,0.5189393939393939,0.8509316770186336,0.6447058823529411,0.5245553798078778
52,0.2532177605429051,21.434988963894728,0.5279503105590062,0.5166051660516605,0.8695652173913043,0.6481481481481481,0.5264843177346553
53,0.07991580530908537,22.22652399249193,0.5186335403726708,0.5109489051094891,0.8695652173913043,0.6436781609195402,0.5219320242274603
54,0.17184096202254295,22.02567540145502,0.5248447204968945,0.5144927536231884,0.8819875776397516,0.6498855835240275,0.5254426912541955
55,0.22702707991189097,22.658211998823212,0.5248447204968945,0.5141843971631206,0.9006211180124224,0.654627539503386,0.5226843100189036
56,0.2559983066705443,22.81620168685913,0.5279503105590062,0.5160142348754448,0.9006211180124224,0.6561085972850679,0.5176883607885499
57,0.29756045010611876,22.641996162693676,0.5279503105590062,0.516245487364621,0.8881987577639752,0.6529680365296804,0.5215076578835693
58,0.1376469566816499,22.999141076715983,0.5279503105590062,0.5159010600706714,0.906832298136646,0.6576576576576577,0.5170518112727132
59,0.09643126001454289,23.033059399302413,0.5124223602484472,0.5069444444444444,0.906832298136646,0.6503340757238307,0.5210447127811427
60,0.13081040811834868,22.726166597226772,0.5279503105590062,0.5160142348754448,0.9006211180124224,0.6561085972850679,0.5196365880945952
61,0.24453674578426046,22.380116020760884,0.5186335403726708,0.5109489051094891,0.8695652173913043,0.6436781609195402,0.5184406465799931
62,0.08820656728670463,22.752671904680206,0.531055900621118,0.5177304964539007,0.906832298136646,0.6591422121896162,0.5245553798078779
63,0.09935127166302307,22.831929858137922,0.5279503105590062,0.5160142348754448,0.9006211180124224,0.6561085972850679,0.5177076501678176
64,0.27369534582917737,22.34416819781792,0.5217391304347826,0.5127272727272727,0.8757763975155279,0.6467889908256881,0.5165695767910189
65,0.09927643065034232,22.263760357368284,0.5248447204968945,0.5145985401459854,0.8757763975155279,0.6482758620689655,0.5214883685043016
66,0.14219487907353395,22.232040905370944,0.531055900621118,0.5185185185185185,0.8695652173913043,0.6496519721577726,0.5142548512788859
67,0.1767959997798345,22.511762444565935,0.5279503105590062,0.5163636363636364,0.8819875776397516,0.6513761467889908,0.5184985147177965
68,0.0921567730744433,22.852821850195163,0.5341614906832298,0.519434628975265,0.9130434782608695,0.6621621621621622,0.5188071447860808
69,0.08994546014329662,22.750046218313823,0.531055900621118,0.5177304964539007,0.906832298136646,0.6591422121896162,0.5268893946992785
70,0.08676025333889523,22.585982020308332,0.5279503105590062,0.516245487364621,0.8881987577639752,0.6529680365296804,0.5199837969214152
71,0.11240918117557994,22.804913939499272,0.531055900621118,0.5177304964539007,0.906832298136646,0.6591422121896162,0.5255198487712666
72,0.09346362344504143,22.33629990787041,0.5248447204968945,0.5144927536231884,0.8819875776397516,0.6498855835240275,0.5291462520736083
73,0.09968561507900309,22.950919104785456,0.5279503105590062,0.5159010600706714,0.906832298136646,0.6576576576576577,0.5165117086532155
74,0.08229853876906892,23.3344782852545,0.531055900621118,0.5174825174825175,0.9192546583850931,0.6621923937360179,0.5179969908568343
75,0.1056933358820699,22.65236341662523,0.531055900621118,0.5177304964539007,0.906832298136646,0.6591422121896162,0.5238609621542379
76,0.09685699165052508,22.763448668689264,0.5279503105590062,0.5159010600706714,0.906832298136646,0.6576576576576577,0.5252497974615177
77,0.0925383163812738,22.784528360134217,0.5279503105590062,0.5160142348754448,0.9006211180124224,0.6561085972850679,0.5197330349909339
78,0.0935241888213602,22.670095443725586,0.5248447204968945,0.5143884892086331,0.8881987577639752,0.6514806378132119,0.5196172987153274
79,0.16430474607192952,22.94794032631851,0.5248447204968945,0.5141843971631206,0.9006211180124224,0.654627539503386,0.5142934300374215
80,0.26168260325371107,22.87575278631071,0.531055900621118,0.5177304964539007,0.906832298136646,0.6591422121896162,0.5201574013348251
81,0.08456861958925768,22.947396499354664,0.5248447204968945,0.5140845070422535,0.906832298136646,0.6561797752808989,0.5217777091933182
82,0.1356621449871093,22.49617424243834,0.5279503105590062,0.5163636363636364,0.8819875776397516,0.6513761467889908,0.5198680606458084
83,0.07909564882146645,23.704958497024165,0.5186335403726708,0.5102739726027398,0.9254658385093167,0.6578366445916115,0.5193472474055785
84,0.13581969322902815,22.470906501863062,0.5217391304347826,0.5128205128205128,0.8695652173913043,0.6451612903225806,0.519385826164114
85,0.09963147351460427,23.43079913534769,0.5248447204968945,0.5138888888888888,0.9192546583850931,0.6592427616926503,0.521970602985996
86,0.226903997824429,22.056372072638535,0.5248447204968945,0.5148148148148148,0.8633540372670807,0.6450116009280742,0.5219706029859958
87,0.09766505281469837,22.394833541497952,0.5186335403726708,0.5108695652173914,0.8757763975155279,0.6453089244851259,0.5223563905713513
88,0.11907617204030108,23.10752309240946,0.531055900621118,0.5176056338028169,0.9130434782608695,0.6606741573033708,0.519559430577524
89,0.27292621549889906,22.989821434020996,0.5248447204968945,0.5140845070422535,0.906832298136646,0.6561797752808989,0.5234751745688824
90,0.15960368530257887,22.587624200960484,0.5279503105590062,0.5164835164835165,0.8757763975155279,0.6497695852534562,0.5162609467227345
91,0.1788373901653364,22.487069630041354,0.531055900621118,0.5178571428571429,0.9006211180124224,0.6575963718820862,0.5227035993981713
92,0.08199357741182635,22.954451944769882,0.5279503105590062,0.5159010600706714,0.906832298136646,0.6576576576576577,0.5217005516762471
93,0.10107591239191731,22.504771441948122,0.5248447204968945,0.5143884892086331,0.8881987577639752,0.6514806378132119,0.5248254311176266
94,0.14619334956041033,22.357338207524,0.5279503105590062,0.5166051660516605,0.8695652173913043,0.6481481481481481,0.5150842945874002
95,0.2319361028602775,22.472364507070402,0.5217391304347826,0.5126353790613718,0.8819875776397516,0.6484018264840182,0.5240345665676478
